Date,Open,High,Low,Close,Volume
2017-10-16,132.794100,133.278500,132.596400,132.922600,949682
2017-10-17,132.616100,132.972100,130.836600,131.073900,1266677
2017-10-18,131.162800,131.785700,129.798500,130.203900,1102342
2017-10-19,130.065500,130.460900,129.462400,130.243400,626425
2017-10-20,130.708100,131.291400,130.352200,131.291400,622453
2017-10-23,131.093600,131.775800,130.895900,131.093600,687281
2017-10-24,131.568200,131.785700,130.698200,130.797000,710249
2017-10-25,130.876100,131.330900,130.132200,130.984900,1079009
2017-10-26,131.785700,132.359100,130.915700,131.162800,806207
2017-10-27,131.014600,131.380300,129.828200,130.490600,923370
2017-10-30,130.154400,130.352200,129.333900,129.432700,1103063
2017-10-31,130.263200,132.220700,127.682800,129.175700,2009284
2017-11-01,128.612200,130.223600,127.692700,129.778800,1269391
2017-11-02,129.857800,130.124800,128.948300,129.749100,1144048
2017-11-03,129.739200,130.905800,129.353600,129.887500,1869828
2017-11-06,129.709500,131.380300,129.670000,130.411500,710805
2017-11-07,130.085200,130.599300,129.091600,129.462400,958521
2017-11-08,129.462400,129.857800,128.631900,128.908700,1012077
2017-11-09,128.948300,129.185600,128.038700,128.770300,825444
2017-11-10,128.345200,129.146000,127.781700,128.819800,1298437
2017-11-13,128.740700,130.302700,128.325500,130.144500,1072645
2017-11-14,129.689800,130.470800,128.760500,129.907300,1359775
2017-11-15,129.709500,129.857800,128.641800,128.750600,1104543
2017-11-16,129.037300,131.024400,128.879100,130.490600,1423070
2017-11-17,130.085200,130.451000,129.348700,129.956700,1425153
2017-11-20,129.788600,131.192500,129.581000,130.629000,1222687
2017-11-21,131.113400,131.736300,130.652400,130.945300,1247288
2017-11-22,131.350700,132.091700,130.722900,131.479200,1331221
2017-11-24,131.775800,132.032800,131.153000,131.350700,281941
2017-11-27,131.459400,132.067500,131.083800,131.301300,881045
2017-11-28,131.953800,132.724900,131.953800,132.724900,1827906
2017-11-29,132.744700,133.535600,132.121800,133.466400,897673
2017-11-30,133.693800,135.226200,133.614700,134.375900,1453220
2017-12-01,134.899900,135.068000,132.439200,133.357600,1019216
2017-12-04,133.940900,136.224700,133.535700,135.700700,1509864
2017-12-05,135.868800,136.387800,135.542500,135.858900,1154549
2017-12-06,135.730400,135.997300,135.063000,135.325000,1018120
2017-12-07,134.969100,135.473300,134.000200,134.375900,938129
2017-12-08,135.028400,135.028400,133.545500,133.792600,862460
2017-12-11,134.257300,134.455000,132.932500,133.140100,1488752
2017-12-12,133.318100,133.367500,132.240500,133.318100,1143785
2017-12-13,133.476300,134.198000,133.021500,133.466400,801046
2017-12-14,133.466400,133.931000,132.823800,132.843500,977919
2017-12-15,133.189600,133.950800,132.764400,133.654200,1462865
2017-12-18,134.209500,135.161000,134.055800,134.705400,1475748
2017-12-19,134.983000,135.121900,133.713700,133.961600,868490
2017-12-20,134.279000,134.655800,132.900600,132.960100,1326780
2017-12-21,133.475700,133.753400,132.295700,132.394800,1570056
2017-12-22,132.632800,133.069100,132.107200,132.851000,656364
2017-12-26,132.870800,133.128600,132.405100,132.583200,324392
2017-12-27,132.870800,133.436100,132.444400,132.979900,710292
2017-12-28,133.396400,133.495600,132.692300,133.406300,862089
2017-12-29,133.902100,134.378100,133.059200,133.059200,613949
2018-01-02,133.079100,133.674100,132.299200,133.376600,941211
2018-01-03,133.604600,134.358300,132.880700,134.239300,764495
2018-01-04,134.586400,135.677200,134.417800,135.330100,723185
2018-01-05,134.764900,136.123400,134.070700,136.034200,1048851
2018-01-08,135.498700,135.855700,134.908700,135.558200,1099899
2018-01-09,135.478900,136.262300,135.230900,135.518500,887473
2018-01-10,135.379700,135.379700,133.505500,133.991400,881043
2018-01-11,134.150000,135.915200,133.981500,135.885400,1563354
2018-01-12,136.301900,136.966300,135.885500,136.530000,1266995
2018-01-16,137.253900,137.521600,135.469800,135.875500,1133719
2018-01-17,136.609300,136.678700,135.111900,136.282100,1131868
2018-01-18,136.133300,137.908400,136.004400,137.194400,911514
2018-01-19,138.057100,138.800900,137.214200,138.582700,1068346
2018-01-22,138.622400,139.257000,138.151300,139.167800,1543081
2018-01-23,139.326400,139.326400,135.270600,136.609300,2388005
2018-01-24,136.609300,137.085300,135.459000,136.163100,2012450
2018-01-25,136.827500,137.620800,136.113500,137.164700,1319787
2018-01-26,137.521600,137.809200,136.520100,136.996100,1189163
2018-01-29,136.391200,137.154700,135.825900,136.351500,1109751
2018-01-30,135.935000,137.095200,135.935000,136.430800,1018979
2018-01-31,136.738200,137.422500,136.029200,136.530000,1738696
2018-02-01,136.153200,137.571200,135.855700,137.333200,1556349
2018-02-02,136.579600,138.136500,135.766400,135.915200,1641098
2018-02-05,135.478900,136.946500,130.947000,130.947000,1862579
2018-02-06,129.310800,131.661000,127.560500,130.639600,2828200
2018-02-07,129.846300,134.298800,129.846300,132.008100,2052260
2018-02-08,132.117200,132.523700,126.593700,126.692900,2457232
2018-02-09,127.803500,128.719800,124.689700,127.446500,2224226
2018-02-12,128.160500,129.935500,127.932400,129.072800,1551406
2018-02-13,128.011700,128.879400,126.127600,128.259700,1385585
2018-02-14,127.406800,129.320700,127.030000,128.715800,1339767
2018-02-15,129.588500,130.669400,129.241400,130.669400,1447177
2018-02-16,130.124000,131.799800,129.856200,130.391700,1301812
2018-02-20,130.391700,132.325400,129.053000,130.619800,1390438
2018-02-21,130.976800,131.423000,128.745600,128.815000,1597193
2018-02-22,129.429800,130.272700,128.061300,128.368700,1332603
2018-02-23,129.102600,129.866100,128.239800,129.747100,1529504
2018-02-26,130.133900,131.105700,129.757000,130.887500,1100628
2018-02-27,130.897400,131.313900,129.965300,129.995000,908884
2018-02-28,130.352000,130.947000,129.350500,129.360400,1314364
2018-03-01,128.815000,129.960300,127.010200,127.634900,1309326
2018-03-02,127.149000,127.982000,126.167300,126.792000,1204626
2018-03-05,126.236700,129.310800,126.236700,128.864600,1186629
2018-03-06,129.201700,130.540400,128.279500,129.915700,933913
2018-03-07,129.062900,132.077500,128.815000,131.690800,1999950
2018-03-08,132.077500,133.287300,131.690800,133.217900,1887851
2018-03-09,132.821200,133.822800,132.632800,133.783100,2136638
2018-03-12,133.872400,136.073800,133.604600,135.637500,1450233
2018-03-13,135.925100,136.361400,134.865100,135.687100,1403572
2018-03-14,136.222600,136.579600,134.913600,135.171400,1536711
2018-03-15,135.250800,135.776300,134.784700,135.558200,1259918
2018-03-16,135.697000,137.283600,135.553200,136.926700,1852428
2018-03-19,136.648200,137.344400,135.315400,135.743100,1333659
2018-03-20,135.743100,136.270200,134.649000,135.892300,1160683
2018-03-21,135.882300,137.075800,135.395000,135.683400,931185
2018-03-22,134.768400,135.564100,133.206800,133.395800,1093630
2018-03-23,133.823500,134.410300,131.535900,131.535900,1289914
2018-03-26,132.888600,134.121900,131.903900,134.012500,1790383
2018-03-27,134.191500,136.280200,133.465400,134.251200,1397361
2018-03-28,134.808200,135.971800,134.231300,134.579400,1224448
2018-03-29,135.196100,137.185300,134.211400,136.329900,1319154
2018-04-02,135.971800,136.260300,132.073000,133.246600,1112024
2018-04-03,133.932900,136.678000,133.256600,136.160800,1611019
2018-04-04,134.549600,138.269400,134.161700,138.120200,1525604
2018-04-05,138.826300,141.104000,138.368800,140.487300,1666084
2018-04-06,139.761300,141.223300,138.249500,139.025300,1791781
2018-04-09,139.870700,141.143800,139.164500,139.492700,1470637
2018-04-10,140.686200,141.869800,139.820900,140.875200,1323276
2018-04-11,139.910500,140.381400,139.094900,139.890600,1047065
2018-04-12,140.507200,141.302900,139.940300,140.616600,921725
2018-04-13,141.332700,141.357600,140.054700,140.417700,847875
2018-04-16,141.541600,146.256000,140.527100,146.166500,3491096
2018-04-17,146.982100,147.708100,145.112200,147.270500,1550869
2018-04-18,147.608700,149.647600,147.061600,149.030900,1416133
2018-04-19,149.170200,149.170200,147.688200,148.175600,1129009
2018-04-20,147.976700,148.364600,146.813000,147.747900,1160731
2018-04-23,147.419700,148.812000,147.419700,148.344700,1334310
2018-04-24,148.593300,148.832000,144.107700,145.460300,1538401
2018-04-25,145.241500,145.241500,142.963900,144.386200,1845784
2018-04-26,144.992900,146.027200,144.038000,145.390700,1021377
2018-04-27,145.142100,146.295800,143.869000,145.917800,1196853
2018-04-30,146.584200,147.190900,143.640200,143.988300,2107748
2018-05-01,135.265700,146.683700,135.265700,146.335600,1998444
2018-05-02,144.793900,146.057100,142.953900,143.461200,1641513
2018-05-03,142.635700,144.326500,142.148300,143.401500,1432074
2018-05-04,142.963900,145.659200,142.426800,144.605000,949904
2018-05-07,145.142100,145.823400,144.580100,145.002800,999715
2018-05-08,144.883500,145.669200,144.276800,144.704400,1125965
2018-05-09,145.142100,146.514600,144.445800,146.186400,1397185
2018-05-10,146.673700,147.200900,146.102800,146.862700,779610
2018-05-11,146.862700,147.061600,146.057100,146.355500,730942
2018-05-14,146.643900,146.952200,145.132100,145.500100,1364532
2018-05-15,145.261400,145.510100,144.754200,145.420500,1208887
2018-05-16,145.907900,147.608700,145.529900,146.912400,1101347
2018-05-17,146.634000,147.429600,146.047100,146.275900,940648
2018-05-18,146.096900,147.379900,146.096900,147.031800,1020732
2018-05-21,147.479400,147.837400,146.773200,147.200900,711324
2018-05-22,147.499300,147.638500,145.589600,145.718900,911448
2018-05-23,144.704400,145.450400,144.207100,144.843700,1016155
2018-05-24,144.734300,145.460300,144.489200,144.684500,913040
2018-05-25,144.246900,144.843700,143.431300,143.928600,932211
2018-05-29,142.904200,143.391600,140.825500,140.984600,1613386
2018-05-30,141.710700,143.859000,141.668400,143.252300,1057328
2018-05-31,143.222500,143.540700,141.501800,141.840000,1042689
2018-06-01,142.784900,143.232400,142.516300,142.824600,766650
2018-06-04,143.501000,143.869000,143.182700,143.481100,573888
2018-06-05,143.232400,144.072900,143.232400,143.829200,1115233
2018-06-06,144.197200,145.888000,143.182700,145.788500,1509836
2018-06-07,145.738800,146.186400,144.406100,145.082400,833990
2018-06-08,145.082400,145.947700,144.638300,145.400700,743639
2018-06-11,145.062500,145.669200,144.465700,144.515500,1015857
2018-06-12,145.082400,145.619500,143.998300,144.266800,867967
2018-06-13,144.217100,145.112200,143.491000,143.928600,657189
2018-06-14,144.525400,144.893400,143.640200,144.614900,785539
2018-06-15,144.774100,145.803500,143.242400,145.778600,2301749
2018-06-18,144.851000,145.439500,143.893500,144.551800,746364
2018-06-19,143.394800,144.791200,142.761500,144.212700,1416905
2018-06-20,144.222700,144.771200,143.093100,143.275100,716876
2018-06-21,142.936000,143.454700,140.632100,141.190600,1134061
2018-06-22,139.285600,140.352800,137.235900,138.507600,3188207
2018-06-25,138.637300,139.475100,137.260900,138.058800,1128522
2018-06-26,138.727000,139.684500,137.969000,138.058800,1178104
2018-06-27,138.757000,139.983800,137.959100,137.969000,1825322
2018-06-28,138.178500,139.991200,138.178500,139.714500,1057211
2018-06-29,140.063600,141.300300,139.913900,139.963800,1405166
2018-07-02,139.385300,139.963800,138.288200,139.874000,950279
2018-07-03,140.652000,141.360200,139.395300,139.604800,441735
2018-07-05,140.083500,140.841500,139.894000,140.372700,778393
2018-07-06,140.552300,141.848900,140.053600,141.390100,664873
2018-07-09,141.649400,142.158800,141.320300,141.679300,622482
2018-07-10,141.898800,142.636800,141.679300,142.537100,519253
2018-07-11,141.888800,143.025800,141.230500,141.569600,523341
2018-07-12,142.297700,142.497200,141.759100,142.287700,543369
2018-07-13,142.477200,143.025800,142.237900,142.786400,671010
2018-07-16,142.886200,143.035800,141.938600,142.247800,689991
2018-07-17,142.038400,143.704000,141.838900,143.345000,664010
2018-07-18,143.624200,144.183200,143.145500,143.624200,771070
2018-07-19,142.776500,143.235300,141.459900,141.529700,1149123
2018-07-20,140.921300,141.250400,140.213200,140.542300,1029126
2018-07-23,140.572200,140.711900,139.335500,139.973800,878659
2018-07-24,140.751800,141.240500,139.874000,140.243100,899929
2018-07-25,140.293000,141.330200,139.435200,141.230500,1238480
2018-07-26,141.759100,142.746500,141.619500,142.327600,919096
2018-07-27,142.347600,142.676700,139.963800,140.582200,1006405
2018-07-30,140.502400,142.168000,140.163300,140.372700,1390010
2018-07-31,140.213200,142.477200,139.146000,140.332800,2095854
2018-08-01,141.031000,144.900900,140.881400,144.322400,2381039
2018-08-02,143.933400,146.776000,143.394900,145.958100,2126957
2018-08-03,146.416900,146.815900,145.928200,146.736100,1077283
2018-08-06,146.167600,148.401700,146.117700,147.783400,1155731
2018-08-07,147.773400,148.920400,147.284700,148.571300,1090165
2018-08-08,148.511400,148.820600,147.344500,148.032700,963475
2018-08-09,148.471600,148.566300,147.294600,147.454200,891513
2018-08-10,147.055300,147.274700,146.327300,146.476800,838348
2018-08-13,146.516700,147.663700,145.309800,145.589100,983517
2018-08-14,145.718800,147.184900,145.549200,146.656300,777460
2018-08-15,146.227400,146.516700,144.621600,145.688800,798907
2018-08-16,146.147600,146.875700,145.768600,146.307200,649757
2018-08-17,146.476800,147.055300,146.018000,146.925600,830167
2018-08-20,147.484100,148.182300,147.254700,147.903000,607267
2018-08-21,148.292000,148.411700,147.264700,147.683600,545683
2018-08-22,147.633700,147.673600,146.766000,146.805900,476289
2018-08-23,146.616400,146.935600,146.067800,146.776000,564488
2018-08-24,147.105100,148.925400,146.825900,148.541400,757785
2018-08-27,148.710900,149.588600,148.710900,149.429000,694873
2018-08-28,149.608600,150.556100,148.870500,149.109900,696573
2018-08-29,149.369200,150.615900,148.880500,150.476300,617409
2018-08-30,150.326700,150.625900,149.260500,149.728300,674820
2018-08-31,149.449000,150.665700,149.179700,150.087300,942137
2018-09-04,150.217000,150.945100,149.808100,150.246900,1018592
2018-09-05,150.087300,152.122000,149.922800,152.072100,1015332
2018-09-06,151.932500,153.219100,151.932500,152.800200,870038
2018-09-07,152.311500,153.189200,151.473700,152.949800,873872
2018-09-10,153.398700,153.847500,152.939900,153.438600,839732
2018-09-11,153.239100,154.655400,152.790300,154.495800,754787
2018-09-12,154.575600,155.892100,154.256400,155.313700,763367
